"Transaction ID,Date,Amount,Description,Reference,Category,Currency,Counterparty,Provider"
"IVY-20250701-0001,2025-07-01,-13.10,Cloud hosting services,7D90811D-0019,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250531-0089,2025-05-31,-20.70,Google Cloud Platform usage,5266694798,Cloud Services,EUR,Google Cloud EMEA Limited,Chase Business"
"IVY-20250430-0067,2025-04-30,-20.70,Google Cloud Platform usage,5239279038,Cloud Services,EUR,Google Cloud EMEA Limited,Chase Business"
"IVY-20250715-0156,2025-07-15,2450.00,Client payment received,STRIPE-7891234,Revenue,USD,Stripe,Chase Business"
"IVY-20250701-0002,2025-07-01,-29.99,Amazon Web Services,AMZ-4567890,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250702-0003,2025-07-02,-89.45,Office supplies purchase,AMZ-4567891,Office Supplies,USD,Amazon,Chase Business"
"IVY-20250703-0004,2025-07-03,-15.00,AI API usage,OAI-7823456,Software,USD,OpenAI,Chase Business"
"IVY-20250704-0005,2025-07-04,-67.50,Team dinner,DELTA-9876543,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250705-0006,2025-07-05,-22.00,Voice synthesis API,EL-5647382,Software,USD,ElevenLabs,Chase Business"
"IVY-20250706-0007,2025-07-06,-45.80,GPU compute time,RP-3928475,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250707-0008,2025-07-07,-35.99,Audio processing service,AC-8472951,Software,USD,ai-coustics,Chase Business"
"IVY-20250708-0009,2025-07-08,-12.50,API integration tools,SG-7394852,Software,USD,superglue,Chase Business"
"IVY-20250709-0010,2025-07-09,-89.00,Development tools,ACI-4758392,Software,USD,ACI.dev,Chase Business"
"IVY-20250710-0011,2025-07-10,-156.70,Presence detection service,BP-8372946,Software,USD,Beyond Presence,Chase Business"
"IVY-20250711-0012,2025-07-11,-78.90,Vector database hosting,WV-9384756,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250712-0013,2025-07-12,-245.00,Knowledge management platform,DUST-7485962,Software,USD,Dust,Chase Business"
"IVY-20250713-0014,2025-07-13,1890.50,Monthly subscription revenue,STRIPE-7891235,Revenue,USD,Stripe,Chase Business"
"IVY-20250714-0015,2025-07-14,-15.00,AI API usage,OAI-7823457,Software,USD,OpenAI,Chase Business"
"IVY-20250715-0016,2025-07-15,-89.45,Office supplies purchase,AMZ-4567891,Office Supplies,USD,Amazon,Chase Business"
"IVY-20250716-0017,2025-07-16,-67.50,Team dinner,DELTA-9876543,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250717-0018,2025-07-17,3250.00,Project milestone payment,STRIPE-7891236,Revenue,USD,Stripe,Chase Business"
"IVY-20250718-0019,2025-07-18,-125.99,Premium software license,AMZ-4567892,Software,USD,Amazon,Chase Business"
"IVY-20250619-0020,2025-06-19,-34.50,Voice synthesis credits,EL-5647383,Software,USD,ElevenLabs,Chase Business"
"IVY-20250620-0021,2025-06-20,-67.80,GPU training session,RP-3928476,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250621-0022,2025-06-21,-28.99,Audio enhancement service,AC-8472952,Software,USD,ai-coustics,Chase Business"
"IVY-20250622-0023,2025-06-22,-19.99,Integration platform fee,SG-7394853,Software,USD,superglue,Chase Business"
"IVY-20250623-0024,2025-06-23,-156.00,Development environment,ACI-4758393,Software,USD,ACI.dev,Chase Business"
"IVY-20250624-0025,2025-06-24,-89.90,Workspace analytics,BP-8372947,Software,USD,Beyond Presence,Chase Business"
"IVY-20250625-0026,2025-06-25,-123.45,Database operations,WV-9384757,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250626-0027,2025-06-26,-278.00,Knowledge base subscription,DUST-7485963,Software,USD,Dust,Chase Business"
"IVY-20250627-0028,2025-06-27,-18.90,Cloud hosting overage,FLY-7D90811E,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250628-0029,2025-06-28,2100.00,Client retainer payment,STRIPE-7891237,Revenue,USD,Stripe,Chase Business"
"IVY-20250629-0030,2025-06-29,-45.67,AWS Lambda usage,AMZ-4567893,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250630-0031,2025-06-30,-25.00,AI model access,OAI-7823458,Software,USD,OpenAI,Chase Business"
"IVY-20250601-0032,2025-06-01,-89.99,Conference room booking,DELTA-9876544,Venue Rental,USD,The Delta,Chase Business"
"IVY-20250602-0033,2025-06-02,-45.80,Text-to-speech API,EL-5647384,Software,USD,ElevenLabs,Chase Business"
"IVY-20250603-0034,2025-06-03,-67.90,Model training compute,RP-3928477,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250604-0035,2025-06-04,-32.50,Audio processing credits,AC-8472953,Software,USD,ai-coustics,Chase Business"
"IVY-20250605-0036,2025-06-05,-24.99,API orchestration,SG-7394854,Software,USD,superglue,Chase Business"
"IVY-20250606-0037,2025-06-06,-178.00,CI/CD pipeline tools,ACI-4758394,Software,USD,ACI.dev,Chase Business"
"IVY-20250607-0038,2025-06-07,-95.60,Space utilization analytics,BP-8372948,Software,USD,Beyond Presence,Chase Business"
"IVY-20250608-0039,2025-06-08,-145.80,Vector search operations,WV-9384758,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250609-0040,2025-06-09,-189.99,Document intelligence,DUST-7485964,Software,USD,Dust,Chase Business"
"IVY-20250610-0041,2025-06-10,-16.75,Additional storage,FLY-7D90811F,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250611-0042,2025-06-11,1750.00,Consulting services payment,STRIPE-7891238,Revenue,USD,Stripe,Chase Business"
"IVY-20250612-0043,2025-06-12,-78.90,S3 storage costs,AMZ-4567894,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250613-0044,2025-06-13,-35.00,GPT-4 API usage,OAI-7823459,Software,USD,OpenAI,Chase Business"
"IVY-20250614-0045,2025-06-14,-125.50,Corporate catering,DELTA-9876545,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250615-0046,2025-06-15,-56.70,Voice cloning service,EL-5647385,Software,USD,ElevenLabs,Chase Business"
"IVY-20250616-0047,2025-06-16,-89.99,High-performance computing,RP-3928478,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250617-0048,2025-06-17,-41.25,Speech enhancement,AC-8472954,Software,USD,ai-coustics,Chase Business"
"IVY-20250618-0049,2025-06-18,-18.99,Workflow automation,SG-7394855,Software,USD,superglue,Chase Business"
"IVY-20250519-0050,2025-05-19,-234.00,DevOps platform subscription,ACI-4758395,Software,USD,ACI.dev,Chase Business"
"IVY-20250520-0051,2025-05-20,-112.80,Occupancy monitoring,BP-8372949,Software,USD,Beyond Presence,Chase Business"
"IVY-20250521-0052,2025-05-21,-167.90,Semantic search platform,WV-9384759,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250522-0053,2025-05-22,-198.75,AI knowledge assistant,DUST-7485965,Software,USD,Dust,Chase Business"
"IVY-20250523-0054,2025-05-23,-22.40,Edge computing resources,FLY-7D908120,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250524-0055,2025-05-24,2890.00,License revenue payment,STRIPE-7891239,Revenue,USD,Stripe,Chase Business"
"IVY-20250525-0056,2025-05-25,-67.80,CloudFormation usage,AMZ-4567895,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250526-0057,2025-05-26,-28.50,AI assistant API,OAI-7823460,Software,USD,OpenAI,Chase Business"
"IVY-20250527-0058,2025-05-27,-89.99,Private dining,DELTA-9876546,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250528-0059,2025-05-28,-67.90,Real-time voice synthesis,EL-5647386,Software,USD,ElevenLabs,Chase Business"
"IVY-20250529-0060,2025-05-29,-123.45,ML model inference,RP-3928479,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250530-0061,2025-05-30,-39.99,Audio quality enhancement,AC-8472955,Software,USD,ai-coustics,Chase Business"
"IVY-20250501-0062,2025-05-01,-29.99,Integration middleware,SG-7394856,Software,USD,superglue,Chase Business"
"IVY-20250502-0063,2025-05-02,-189.00,Container orchestration,ACI-4758396,Software,USD,ACI.dev,Chase Business"
"IVY-20250503-0064,2025-05-03,-78.60,Smart building sensors,BP-8372950,Software,USD,Beyond Presence,Chase Business"
"IVY-20250504-0065,2025-05-04,-134.70,Vector embedding service,WV-9384760,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250505-0066,2025-05-05,-245.80,Document analysis platform,DUST-7485966,Software,USD,Dust,Chase Business"
"IVY-20250506-0067,2025-05-06,-19.80,CDN bandwidth usage,FLY-7D908121,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250507-0068,2025-05-07,1650.00,Monthly SaaS revenue,STRIPE-7891240,Revenue,USD,Stripe,Chase Business"
"IVY-20250508-0069,2025-05-08,-89.45,EC2 instance costs,AMZ-4567896,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250509-0070,2025-05-09,-42.00,Code generation API,OAI-7823461,Software,USD,OpenAI,Chase Business"
"IVY-20250510-0071,2025-05-10,-156.75,Event space rental,DELTA-9876547,Venue Rental,USD,The Delta,Chase Business"
"IVY-20250511-0072,2025-05-11,-78.90,Multi-language TTS,EL-5647387,Software,USD,ElevenLabs,Chase Business"
"IVY-20250512-0073,2025-05-12,-156.80,GPU cluster access,RP-3928480,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250513-0074,2025-05-13,-48.99,Noise reduction service,AC-8472956,Software,USD,ai-coustics,Chase Business"
"IVY-20250514-0075,2025-05-14,-35.00,API gateway usage,SG-7394857,Software,USD,superglue,Chase Business"
"IVY-20250515-0076,2025-05-15,-267.00,Automated deployment tools,ACI-4758397,Software,USD,ACI.dev,Chase Business"
"IVY-20250516-0077,2025-05-16,-89.90,Environmental monitoring,BP-8372951,Software,USD,Beyond Presence,Chase Business"
"IVY-20250517-0078,2025-05-17,-178.60,Knowledge graph hosting,WV-9384761,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250518-0079,2025-05-18,-198.25,Enterprise AI search,DUST-7485967,Software,USD,Dust,Chase Business"
"IVY-20250419-0080,2025-04-19,-25.90,Global load balancing,FLY-7D908122,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250420-0081,2025-04-20,2100.50,Quarterly license payment,STRIPE-7891241,Revenue,USD,Stripe,Chase Business"
"IVY-20250421-0082,2025-04-21,-123.45,RDS database hosting,AMZ-4567897,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250422-0083,2025-04-22,-55.00,Advanced AI model access,OAI-7823462,Software,USD,OpenAI,Chase Business"
"IVY-20250423-0084,2025-04-23,-78.90,Client entertainment,DELTA-9876548,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250424-0085,2025-04-24,-89.70,Custom voice model,EL-5647388,Software,USD,ElevenLabs,Chase Business"
"IVY-20250425-0086,2025-04-25,-234.60,Deep learning training,RP-3928481,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250426-0087,2025-04-26,-56.99,Audio transcription service,AC-8472957,Software,USD,ai-coustics,Chase Business"
"IVY-20250427-0088,2025-04-27,-42.50,Microservices orchestration,SG-7394858,Software,USD,superglue,Chase Business"
"IVY-20250428-0089,2025-04-28,-189.00,Infrastructure automation,ACI-4758398,Software,USD,ACI.dev,Chase Business"
"IVY-20250429-0090,2025-04-29,-112.30,Real-time analytics,BP-8372952,Software,USD,Beyond Presence,Chase Business"
"IVY-20250401-0091,2025-04-01,-145.80,Vector similarity search,WV-9384762,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250402-0092,2025-04-02,-278.90,AI-powered documentation,DUST-7485968,Software,USD,Dust,Chase Business"
"IVY-20250403-0093,2025-04-03,-28.70,Edge cache optimization,FLY-7D908123,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250404-0094,2025-04-04,1890.00,API usage revenue,STRIPE-7891242,Revenue,USD,Stripe,Chase Business"
"IVY-20250405-0095,2025-04-05,-67.80,CloudWatch monitoring,AMZ-4567898,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250406-0096,2025-04-06,-38.50,Text completion API,OAI-7823463,Software,USD,OpenAI,Chase Business"
"IVY-20250407-0097,2025-04-07,-125.60,Business lunch meeting,DELTA-9876549,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250408-0098,2025-04-08,-123.40,Conversational AI service,EL-5647389,Software,USD,ElevenLabs,Chase Business"
"IVY-20250409-0099,2025-04-09,-178.90,Distributed computing,RP-3928482,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250410-0100,2025-04-10,-67.25,Real-time audio processing,AC-8472958,Software,USD,ai-coustics,Chase Business"
"IVY-20250411-0101,2025-04-11,-38.99,Service mesh management,SG-7394859,Software,USD,superglue,Chase Business"
"IVY-20250412-0102,2025-04-12,-234.50,Continuous integration,ACI-4758399,Software,USD,ACI.dev,Chase Business"
"IVY-20250413-0103,2025-04-13,-98.70,Space optimization tools,BP-8372953,Software,USD,Beyond Presence,Chase Business"
"IVY-20250414-0104,2025-04-14,-189.60,Semantic vector database,WV-9384763,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250415-0105,2025-04-15,-298.75,Enterprise knowledge base,DUST-7485969,Software,USD,Dust,Chase Business"
"IVY-20250416-0106,2025-04-16,-32.40,Regional data replication,FLY-7D908124,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250417-0107,2025-04-17,2450.75,Custom development revenue,STRIPE-7891243,Revenue,USD,Stripe,Chase Business"
"IVY-20250418-0108,2025-04-18,-89.90,DynamoDB usage,AMZ-4567899,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250319-0109,2025-04-19,-45.00,AI image generation,OAI-7823464,Software,USD,OpenAI,Chase Business"
"IVY-20250320-0110,2025-04-20,-167.80,Corporate event catering,DELTA-9876550,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250321-0111,2025-04-21,-89.60,Voice emotion analysis,EL-5647390,Software,USD,ElevenLabs,Chase Business"
"IVY-20250322-0112,2025-04-22,-267.40,High-memory instances,RP-3928483,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250323-0113,2025-04-23,-78.99,Audio codec optimization,AC-8472959,Software,USD,ai-coustics,Chase Business"
"IVY-20250324-0114,2025-04-24,-45.50,Event-driven architecture,SG-7394860,Software,USD,superglue,Chase Business"
"IVY-20250325-0115,2025-04-25,-189.00,Platform engineering tools,ACI-4758400,Software,USD,ACI.dev,Chase Business"
"IVY-20250326-0116,2025-04-26,-123.80,IoT device management,BP-8372954,Software,USD,Beyond Presence,Chase Business"
"IVY-20250327-0117,2025-04-27,-234.70,Graph neural networks,WV-9384764,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250328-0118,2025-04-28,-345.90,AI content generation,DUST-7485970,Software,USD,Dust,Chase Business"
"IVY-20250329-0119,2025-04-29,-28.90,Auto-scaling resources,FLY-7D908125,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250330-0120,2025-04-30,1750.50,Subscription revenue,STRIPE-7891244,Revenue,USD,Stripe,Chase Business"
"IVY-20250701-0121,2025-07-01,-156.99,Prime shipping and returns,AMZ-4567900,Office Supplies,USD,Amazon,Chase Business"
